,spiw,spiw,spiw,spiw,spiw,spiw,spiw,spiw,spiw,spiw
2001-11-30,88.00,87.00,87.00,86.00,86.00,85.00,84.00,84.00,83.00,83.00
2001-12-07,87.00,87.00,86.00,86.00,85.00,84.00,84.00,83.00,83.00,82.00
2001-12-14,87.00,86.00,86.00,85.00,84.00,84.00,83.00,83.00,82.00,82.00
2001-12-21,86.00,86.00,85.00,84.00,84.00,83.00,83.00,82.00,82.00,81.00
2001-12-28,86.00,85.00,84.00,84.00,83.00,83.00,82.00,82.00,81.00,81.00
2002-01-04,85.00,84.00,84.00,83.00,83.00,82.00,82.00,81.00,81.00,81.00
2002-01-11,84.00,84.00,83.00,83.00,82.00,82.00,81.00,81.00,81.00,82.00
2002-01-18,84.00,83.00,83.00,82.00,82.00,81.00,81.00,81.00,82.00,82.00
2002-01-25,83.00,83.00,82.00,82.00,81.00,81.00,81.00,82.00,82.00,82.00
2002-02-01,83.00,82.00,82.00,81.00,81.00,81.00,82.00,82.00,82.00,83.00
2002-02-08,82.00,82.00,81.00,81.00,81.00,82.00,82.00,82.00,83.00,83.00
2002-02-15,82.00,81.00,81.00,81.00,82.00,82.00,82.00,83.00,83.00,83.00
2002-02-22,81.00,81.00,81.00,82.00,82.00,82.00,83.00,83.00,83.00,84.00
2002-03-01,81.00,81.00,82.00,82.00,82.00,83.00,83.00,83.00,84.00,86.00
2002-03-08,81.00,82.00,82.00,82.00,83.00,83.00,83.00,84.00,86.00,86.00
2002-03-15,82.00,82.00,82.00,83.00,83.00,83.00,84.00,86.00,86.00,86.00
2002-03-22,82.00,82.00,83.00,83.00,83.00,84.00,86.00,86.00,86.00,87.00
2002-03-29,82.00,83.00,83.00,83.00,84.00,86.00,86.00,86.00,87.00,87.00
2002-04-05,83.00,83.00,83.00,84.00,86.00,86.00,86.00,87.00,87.00,87.00
2002-04-12,83.00,83.00,84.00,86.00,86.00,86.00,87.00,87.00,87.00,88.00
2002-04-19,83.00,84.00,86.00,86.00,86.00,87.00,87.00,87.00,88.00,89.00
2002-04-26,84.00,86.00,86.00,86.00,87.00,87.00,87.00,88.00,89.00,90.00
2002-05-03,86.00,86.00,86.00,87.00,87.00,87.00,88.00,89.00,90.00,91.00
2002-05-10,86.00,86.00,87.00,87.00,87.00,88.00,89.00,90.00,91.00,93.00
2002-05-17,86.00,87.00,87.00,87.00,88.00,89.00,90.00,91.00,93.00,94.00
2002-05-24,87.00,87.00,87.00,88.00,89.00,90.00,91.00,93.00,94.00,94.00
2002-05-31,87.00,87.00,88.00,89.00,90.00,91.00,93.00,94.00,94.00,94.00
2002-06-07,87.00,88.00,89.00,90.00,91.00,93.00,94.00,94.00,94.00,94.00
2002-06-14,88.00,89.00,90.00,91.00,93.00,94.00,94.00,94.00,94.00,94.00
2002-06-21,89.00,90.00,91.00,93.00,94.00,94.00,94.00,94.00,94.00,94.00
2002-06-28,90.00,91.00,93.00,94.00,94.00,94.00,94.00,94.00,94.00,93.00
2002-07-05,91.00,93.00,94.00,94.00,94.00,94.00,94.00,94.00,93.00,93.00
2002-07-12,93.00,94.00,94.00,94.00,94.00,94.00,94.00,93.00,93.00,92.00
2002-07-19,94.00,94.00,94.00,94.00,94.00,94.00,93.00,93.00,92.00,92.00
2002-07-26,94.00,94.00,94.00,94.00,94.00,93.00,93.00,92.00,92.00,92.00
2002-08-02,94.00,94.00,94.00,94.00,93.00,93.00,92.00,92.00,92.00,92.00
2002-08-09,94.00,94.00,94.00,93.00,93.00,92.00,92.00,92.00,92.00,92.00
2002-08-16,94.00,94.00,93.00,93.00,92.00,92.00,92.00,92.00,92.00,93.00
2002-08-23,94.00,93.00,93.00,92.00,92.00,92.00,92.00,92.00,93.00,93.00
