,epu,spi,spi,spi,spi,spi,spi,spi,spi,spi
2011-06-01,74.1,157.26,162.525,166.9,171.8,175.975,171.05,174.56,177.5,176.5
2011-07-01,102.7,162.525,166.9,171.8,175.975,171.05,174.56,177.5,176.5,175.026
2011-08-01,99.8,166.9,171.8,175.975,171.05,174.56,177.5,176.5,175.026,177.32
2011-09-01,140.3,171.8,175.975,171.05,174.56,177.5,176.5,175.026,177.32,174.432
2011-10-01,142.5,175.975,171.05,174.56,177.5,176.5,175.026,177.32,174.432,163.07
2011-11-01,157.7,171.05,174.56,177.5,176.5,175.026,177.32,174.432,163.07,157.62
2011-12-01,161.9,174.56,177.5,176.5,175.026,177.32,174.432,163.07,157.62,155.964
2012-01-01,159.6,177.5,176.5,175.026,177.32,174.432,163.07,157.62,155.964,153.3425
2012-02-01,120.4,176.5,175.026,177.32,174.432,163.07,157.62,155.964,153.3425,152.3
2012-03-01,139.2,175.026,177.32,174.432,163.07,157.62,155.964,153.3425,152.3,155.216
2012-04-01,136.8,177.32,174.432,163.07,157.62,155.964,153.3425,152.3,155.216,156.4875
2012-05-01,126.3,174.432,163.07,157.62,155.964,153.3425,152.3,155.216,156.4875,152.2475
2012-06-01,133.2,163.07,157.62,155.964,153.3425,152.3,155.216,156.4875,152.2475,148.678
2012-07-01,139.0,157.62,155.964,153.3425,152.3,155.216,156.4875,152.2475,148.678,141.89
2012-08-01,120.4,155.964,153.3425,152.3,155.216,156.4875,152.2475,148.678,141.89,132.152
2012-09-01,78.8,153.3425,152.3,155.216,156.4875,152.2475,148.678,141.89,132.152,129.23
2012-10-01,120.5,152.3,155.216,156.4875,152.2475,148.678,141.89,132.152,129.23,135.515
2012-11-01,113.1,155.216,156.4875,152.2475,148.678,141.89,132.152,129.23,135.515,136.122
2012-12-01,122.3,156.4875,152.2475,148.678,141.89,132.152,129.23,135.515,136.122,134.6525
2013-01-01,142.1,152.2475,148.678,141.89,132.152,129.23,135.515,136.122,134.6525,138.85
2013-02-01,130.2,148.678,141.89,132.152,129.23,135.515,136.122,134.6525,138.85,141.7
2013-03-01,84.3,141.89,132.152,129.23,135.515,136.122,134.6525,138.85,141.7,138.982
2013-04-01,90.5,132.152,129.23,135.515,136.122,134.6525,138.85,141.7,138.982,135.97
